I minmaj7 -	VI min7b5 -	II min7b5b9 -	V 7b6 -
I min -	VI min7b5 -	II min7b5b9 -	V 7b6 -
I min -	VI min7b5 -	bVI 7#11 -	V 7b9b13 -
I min -	bVI maj#11 - 	II min - 	V dom7 -
I minb6 -	bVI maj#11 - 	II min7b5b9 -	V 7b9b13 -
I minb6 -	bVI maj#11 - 	IV min - 	V 7b9b13 -
I minb6 -	bVI maj#11 - 	V 7sus -	V 7b9b13 -
I minb6 -	bVI maj#11 - 	V 7b9b13 -	IV min -
I minb6 -	bVI maj#11 - 	IV min - 	V 7b6 -
I minb6 -	bVI maj#11 - 	#IV dim7 - 	V 7b6 -
I minb6 - 	bVI 7#11 -	V 7sus - 	V 7alt - 
I minb6 - 	bVI maj#11 - 	bIII maj -	V 7b9b13 -
I minb6 - 	bVI maj#11 - 	bIII maj -	IV min -
I minb6 - 	bVI maj#11 - 	IV min - 	bVII dom7 -
I minb6 - 	bVI maj#11 - 	IV min - 	IV min slashbVII
I minb6 - 	IV min - 	bVI maj#11 - 	V 7b9b13 -
I minb6 - 	IV min - 	II min7b5b9 -	V 7b9b13 - 
I minb6 - 	IV min - 	bIII maj -	V 7b6 -
I minb6 - 	IV min - 	bIII maj -	bVI maj#11 -
I minb6 - 	IV min - 	#IV dim7 - 	V 7b6 -
I minb6 - 	IV min - 	bVI 7#11 -	V 7b9b13 -
I minb6 - 	IV min - 	II 7alt -	V 7alt - 
I minb6 - 	bIII maj - 	IV min - 	V 7b9b13 -
I minb6 - 	bIII maj - 	bVI 7#11 -	V 7b9b13 -
I minb6 - 	bIII maj - 	#IV dim7 - 	V 7b6 -
I minb6 - 	bIII maj - 	II min7b5b9 -	V 7b9b13 -
I minb6 - 	bIII maj - 	II dom7 -	V 7b9b13 -
I minb6 - 	bIII maj - 	IV min - 	bVI maj#11 -
I minb6 - 	II min7b5 -	IV min7 -	V 7b9b13 -
I minb6 -	II min7b5b9 -	IV min - 	V 7b9b13 -
I minb6 - 	II min7b5b9 -	bVI maj#11 - 	V 7b9b13 -
I minb6 - 	II min7b5b9 -	II min7b5b9 slashV	V 7b9b13 -
I minb6 - 	II min7b5b9 -	#IV dim7 - 	V 7b9b13 -
I minb6 - 	bVII dom7 - 	V dom7 -	V 7b6 -
I minb6 - 	bVII dom7 - 	IV min - 	V minb2 -
I minb6 - 	bVII dom7 - 	V minb2 -	IV min -
I minb6 - 	bVII dom7 - 	IV min - 	I minb6 - 
I minb6 - 	bVII dom7 - 	bIII maj -	bVI maj#11 -
I minb6 - 	bVII dom7 slashII 	bIII maj -	bVI maj#11 -
I minb6 -	bVII dom7 slashII	bIII maj -	IV min -
I minb6 - 	bVII dom7 - 	bVII dom7 slashII	bIII maj -
I minb6 - 	bVII dom7 - 	IV min - 	V 7b9b13 -
I minb6 - 	V minb2 - 	IV min slashbVI	bVII dom7 -
I minb6 - 	V minb2 - 	IV min - 	bIII maj - 
I minb6 - 	V minb2 - 	VI maj - 	bIII maj - 
I minb6 - 	V minb2 - 	#IV dim7 -	V dom7 -
I minb6 - 	V 7b9b13 -	VI min -	bIII maj - 
I min -	V minb6 -	IV maj slashVI 	V 7b6 slashVI
I minb6 - 	V 7b6 slashVII 	I minb6 slashbVII	VI min7b5 -
bVI maj#11 - 	bVII dom7 - 	I minb6 - 	V 7b9b13 -
bVI maj#11 - 	bIII maj - 	I minb6 - 	V 7b9b13 -
bVI maj#11 - 	bIII maj - 	IV min - 	V 7b9b13 -